Site,site_name,country,database,weather_name,pyranometer_cal,Latitude,Longitude,Elevation,Timezone,Weather height,Sensor height,Nodes,Crop,start_date,end_date,link to G. Maps
Algeria,ITGC,dz,cordova_et_dz,Algeria,1.273921047,36.71896804,3.150969967,37.00,Africa/Algiers,2,2,,,,,
Egypt Zakha,Kafr El-Shaikh,eg,cordova_et_eg,Sakha_Station,1.273921047,31.096579,30.922311,5.00,Africa/Cairo,2.9,1.85,"eg_005, eg_006, egy-007, egy-008",wheat_2020,,,"https://www.google.com/maps/place/31%C2%B005'47.7%22N+30%C2%B055'20.3%22E/@31.0965836,30.9201223,822m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d31.096579!4d30.922311"
Egypt Zankaloun,Zankaloun,eg,cordova_et_eg,Zankaloun,1.273921047,30.580285,31.433497,9.00,Africa/Cairo,2,1.4,"eg_001, eg_002, eg_003, eg_004",maize_2020,,,"https://www.google.com/maps/place/30%C2%B034'49.0%22N+31%C2%B026'00.6%22E/@30.5798601,31.4326628,207m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d30.580285!4d31.433497"
Iran,Lake Urmia,ir,cordova_et_ir,Iran ,1.273921047,37.6594301,44.9768271,1371.15,Asia/Tehran,2,2,,,,,"https://www.google.com/maps/place/37%C2%B039'34.0%22N+44%C2%B058'36.6%22E/@37.6594343,44.9746384,760m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d37.6594301!4d44.9768271"
Jordan,Jordan,jo,cordova_et_jo,Jordan,1.273921047,32.190515,35.617575,-228.00,Asia/Amman,2,2.5,"jo_001, jo_002, jo_003, jo_004",wheat_2020,,,"https://www.google.com/maps/place/32%C2%B011'25.9%22N+35%C2%B037'03.3%22E/@32.1905195,35.6153863,829m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d32.190515!4d35.617575"
Lebanon,Tal Amara,le,cordova_et_lb,Tal Amara,1,33.8568742,35.9867085,910.00,Asia/Beirut,2,1.7,"lb_001, lb_002",wheat_2020,,,"https://www.google.com/maps/place/33%C2%B051'33.3%22N+35%C2%B059'16.8%22E/@33.8592623,35.9858053,797m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d33.8592579!4d35.987994"
Morocco,Morocco,ma,cordova_et_ma,Morocco,1.273921047,33.219246,-7.713618,221.00,Africa/Casablanca,2.5,1.9,ma_004,maize_2020,,,"https://www.google.com/maps/place/33%C2%B013'09.3%22N+7%C2%B042'49.0%22W/@33.2192505,-7.7158067,803m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d33.219246!4d-7.713618"
Spain IAS,IAS-CSIC,es,cordova_et_es,IAS-CSIC,1.273921047,37.860348,-4.796451,96.00,Europe/Madrid,2,2.9,"es_004_br, es_005, es_007",,2020-03-12,2020-06-04,https://goo.gl/maps/cddmqoXiEf7sSyKv6
Spain Bowen,Bowen Ratio,es,bowen_ratio,Bowen,1.273921047,37.857815,-4.801525,96.00,Europe/Madrid,2,2.9,,wheat_2020,,,https://goo.gl/maps/HC7WuAjbQQs9NvJr8
Tunisia,Tunisia,tn,cordova_et_tn,Tunisia,1.273921047,36.5465347,9.0140506,147.00,Africa/Tunis,3,2.5,"tn_001, tn_002, tn_003, tn_004",wheat_2020,,,"https://www.google.com/maps/place/36%C2%B032'47.5%22N+9%C2%B000'50.6%22E/@36.546539,9.0118619,772m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d36.5465347!4d9.0140506"
Spain IAS Sorghum,IAS-CSIC,es,cordova_et_es,IAS-CSIC,1.273921047,37.860658,-4.795877,96.00,Europe/Madrid,2,2.9,"es_002, es_004, es_004_br, es_005, es_006, es_007",,2020-07-07,,https://goo.gl/maps/cddmqoXiEf7sSyKv6
Lebanon Summer,Tal Amara,le,cordova_et_lb,Tal Amara,1,33.8568742,35.9867085,910.00,Asia/Beirut,2,1.7,"lb_001, lb_002, lb_003, lb_004",maize_2020,2020-07-01,,"https://www.google.com/maps/place/33%C2%B051'33.3%22N+35%C2%B059'16.8%22E/@33.8592623,35.9858053,797m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d33.8592579!4d35.987994"
Spain IAS,IAS-CSIC,es,cordova_et_es,IFAPA_IoT,1.273921047,37.860348,-4.796451,96.00,Europe/Madrid,2.9,2.9,"es_001, es_003, es_006, es_007",,2021-02-21,2021-06-04,https://goo.gl/maps/cddmqoXiEf7sSyKv6
